__RTS_FN_GL_TIMERS_SET_IMMEDIATE	module = "timers", value = "setImmediate"	__rtsm_timers_setImmediate
__RTS_FN_GL_TIMERS_CLEAR_IMMEDIATE	module = "timers", value = "clearImmediate"	__rtsm_timers_clearImmediate
__RTS_FN_NS_THREAD_SPAWN	module = "thread", value = "spawn"	__rtsm_thread_spawn
__RTS_FN_NS_THREAD_SPAWN_ASYNC	module = "thread", value = "spawn_async"	__rtsm_thread_spawn_async
__RTS_FN_NS_THREAD_SPAWN_ASYNC_JOIN	module = "thread", value = "spawn_async_join"	__rtsm_thread_spawn_async_join
__RTS_FN_NS_THREAD_SPAWN_DETACHED	module = "thread", value = "spawn_detached"	__rtsm_thread_spawn_detached
__RTS_FN_NS_THREAD_SPAWN_WITH_UD	module = "thread", value = "spawn_with_ud"	__rtsm_thread_spawn_with_ud
__RTS_FN_GL_TEXTENC_ENCODE	module = "text_encoding", value = "encode"	__rtsm_text_encoding_encode
__RTS_FN_GL_TEXTENC_DECODE	module = "text_encoding", value = "decode"	__rtsm_text_encoding_decode
__RTS_FN_GL_TEXTENC_STRUCTURED_CLONE	global, value = "structuredClone"	__rtsm_global_structuredClone
__RTS_FN_GL_TEXTENC_QUEUE_MICROTASK	global, value = "queueMicrotask"	__rtsm_global_queueMicrotask
__RTS_FN_GL_ABORTSIGNAL_STATIC_ABORT	global = "AbortSignal", value = "abort"	__rtsm_global_AbortSignal_abort
__RTS_FN_GL_ABORTSIGNAL_STATIC_TIMEOUT	global = "AbortSignal", value = "timeout"	__rtsm_global_AbortSignal_timeout
__RTS_FN_GL_ABORTSIGNAL_STATIC_ANY	global = "AbortSignal", value = "any"	__rtsm_global_AbortSignal_any
__RTS_FN_GL_HEADERS_ENTRIES	global = "Headers", value = "entries"	__rtsm_global_Headers_entries
__RTS_FN_GL_HEADERS_FOR_EACH	global = "Headers", value = "forEach"	__rtsm_global_Headers_forEach
__RTS_FN_GL_FORM_DATA_ENTRIES	global = "FormData", value = "entries"	__rtsm_global_FormData_entries
__RTS_FN_GL_FORM_DATA_FOR_EACH	global = "FormData", value = "forEach"	__rtsm_global_FormData_forEach
__RTS_FN_GL_FILE_ARRAY_BUFFER	global = "File", value = "arrayBuffer"	__rtsm_global_File_arrayBuffer
__RTS_FN_GL_FILE_SLICE	global = "File", value = "slice"	__rtsm_global_File_slice
__RTS_FN_GL_BLOB_ARRAY_BUFFER	global = "Blob", value = "arrayBuffer"	__rtsm_global_Blob_arrayBuffer
__RTS_FN_GL_BLOB_SLICE	global = "Blob", value = "slice"	__rtsm_global_Blob_slice
__RTS_FN_GL_WRITABLESTREAM_GET_WRITER	global = "WritableStream", value = "getWriter"	__rtsm_global_WritableStream_getWriter
__RTS_FN_GL_EVENTTARGET_DISPATCH_EVENT	global = "EventTarget", value = "dispatchEvent"	__rtsm_global_EventTarget_dispatchEvent
__RTS_FN_NS_FS_READ_TEXT	module = "fs", value = "read_text"	__rtsm_fs_read_text
__RTS_FN_NS_ENGINE_NUM_TO_STRING_RADIX	module = "engine", value = "num_to_string_radix"	__rtsm_engine_num_to_string_radix
